0.05%	0.055 M
mutant hungtingtin; p62 -/-	mutant hungtingtin; p62 +/+
mutant hungtingtin; p62 +/+	mutant hungtingtin; p62 -/-
MYB28 knock out	MYB29 knock-out
myoctye	myocyte
n/a	NAA
n/a	NS1
"N0, M0, T1a"	"N0, M0, T1b"
"N0, M0, T1b"	"N0, M0, T2"
"N0, M0, T2"	"N0, M0, T3a"
"N0, M0, T3a"	"N0, M0, T3b"
"N0, M0, T3b"	"N0, M0, T4a"
"N0, M0, Ta"	"N0, Mx, T3a"
"N0, Mx, T3a"	"N1, M0, T3a"
"N1, M0, T3a"	"N1, M0, T3b"
"N2, M0, T3b"	"N2, M0, T4a"
"N2, M1, T4a"	"N2, Mx, T4a"
N231	N2A
NAA	NaCl
NaCl	NaOH
Nc-1	Nd-1
NCI-H226	NCI-H322M
ND	NEG
NDR1+/-	NDR1-/-
negative control shRNA	negative control siRNA
neonatal	neonate
neuron	neuronal
neuronal	Neurons
NeutrI	NeutrII
NFATc1 fl/fl MxCre+	NFATc1 fl/fl MxCre-
NHEK cell line	NHLF cell line
Niederzenz	Niederzenz-1
NK92	NKYS
Nkx2-1 overexpression	NKX2-8 overexpression
NMR-1	NMRI
No	none
none	NOT1
Notch3+/+	Notch3-/-
Nrf+/+	Nrf-/-
NT-1	NTci
NTci	NuLi
"Nx, M1, T3a"	"Nx, Mx, T3a"
od260	od280
Olig1cre/+;Dnmt1flox/flox	Olig1cre/+;Dnmt3aflox/flox
Olig1+/+;Dnmt1flox/flox	Olig1+/+;Dnmt3aflox/flox
Oliver	Olivier
OPEC	OPM2
Oregon R	Oregon Red
osteoblast	osteoclast
OsTOP6A3 overexpression	OsTOP6B overexpression
OTHER: Day 6	OTHER: Day3
ovary	OVCAR8
OX0124:MZ twin	OX0125:DZ twin
OX0126:DZ twin	OX0127:MZ twin
OX0134:MZ twin	OX0135:DZ twin
